user_id,spot_id,dist
1,157,2.60768
3,123,4.03609
5,176,2.43516
9,172,1.39284
11,260,3.2311
12,191,2.06155
14,290,4.46542
15,84,3.46554
16,113,2.90689
18,279,1.9105
19,18,0.424264
20,180,6.53758
21,75,1.84391
23,293,3.17805
24,100,2.02237
25,54,3.19531
27,60,3.47131
28,21,0.860233
29,196,6.86222
30,162,2.81603
31,171,2.2561
32,101,1.3
33,67,4.64866
34,34,0.4
38,102,0.447214
39,229,1.2083
40,237,7.74145
41,24,5.71402
42,96,3.59026
48,300,2.6
49,95,1.41421
50,262,1.48661
51,239,4.92037
54,296,7.47329
55,4,1.33417
58,187,1.07703
61,89,2
62,144,2.45967
65,14,5.56058
66,297,0.223607
69,282,1.99249
72,27,1.48661
74,136,0.894427
75,283,1.96977
78,117,0.761577
80,48,1.00499
82,72,1.30384
84,270,1.9
85,203,4.11096
90,261,2.1095
91,285,0.984886
92,120,2.05183
95,130,4.51221
96,52,1.253
97,49,1.40357
100,110,0.806226
102,112,2.54951
103,109,1.36015
104,125,2.13776
107,134,2.7313
108,81,4.81664
110,33,2.98329
111,108,2.64008
112,147,1.89737
117,271,3.04138
119,199,2.30217
121,58,1.65529
125,204,4.40454
126,128,4.44072
128,280,2.51794
129,20,2.14709
130,99,3.4
131,248,2.42074
135,179,2.41868
137,259,1.38924
138,211,2.19317
140,82,0.640312
141,186,3.51141
142,79,2.96816
144,215,1.74642
145,169,9.40479
146,233,2.64197
147,212,3.54401
149,168,4.02616
150,28,0.5
151,223,3.59026
154,208,1.56525
155,278,3.45254
156,8,0.806226
158,30,1.43178
160,88,4.07063
164,184,4.60435
165,275,3.53412
171,236,4.7927
173,251,7.40405
174,69,3.57771
176,274,4.39318
179,225,1.11803
181,77,1.41421
182,170,3.2249
183,218,4.11096
184,202,2.86356
186,40,1.96977
188,255,4.29535
189,272,3.98121
192,41,5.52178
193,22,1.86815
195,31,3.17648
196,23,0.5
197,192,0.921954
199,2,1.3
201,254,2.08806
202,253,1.96469
203,243,0.72111
204,206,1.16619
205,235,3.79473
206,291,2.22036
208,217,0.806226
209,158,5.59017
211,127,2.91548
212,93,1.5
213,15,3.8
214,220,2.30868
216,138,0.728011
219,78,1.72047
220,11,0.921954
223,234,0.824621
224,227,2.1587
227,62,1.16619
229,92,0.412311
230,10,1.81108
231,264,0.905539
232,182,1.80278
233,219,5.30094
234,164,2.03961
235,111,1.90263
237,141,3.80789
238,154,5.72713
239,76,4.34166
240,43,1.2083
241,292,0.894427
244,73,4.31393
246,163,2.75862
247,17,2.77849
248,298,2.33452
249,150,4.245
250,74,2.19317
251,45,0.824621
252,299,2.70185
253,284,3.03645
255,277,3.15753
257,189,3.73363
258,222,2.14709
260,247,1.16619
262,175,6.51153
264,129,1.74929
265,19,1.45602
266,226,5.85491
269,44,1.72047
270,159,1.65529
271,37,1.14018
272,281,2.54951
273,249,2.41868
278,228,3.71214
279,153,3.64005
284,240,6.82642
286,156,3.7855
288,213,1.89737
292,47,3.93954
293,257,1.9799
294,137,4.45982
298,288,1.9
299,276,2.74591
300,70,5.65155
301,161,4.15933
302,131,2.98329
304,241,3.37343
306,118,6.95701
307,106,3.25576
308,195,3.51283
312,221,3.16228
314,26,2.94109
315,201,0.316228
317,269,4.87647
318,91,1.84391
319,64,3.57351
323,38,2.9
324,59,4.83735
325,252,1.83576
326,104,3.32415
329,273,4.20595
331,197,1.41421
333,289,3.67696
334,256,3.50571
336,132,0.509902
337,71,4.65296
339,68,1.80278
340,85,1.11803
342,160,3.61248
344,126,2.12132
345,83,2.42074
346,98,2.96816
348,42,1.9105
349,80,5.23546
350,177,3.48281
351,115,7.50267
353,90,5.66039
358,165,0.707107
361,97,0.509902
362,9,0.984886
363,216,3.4176
365,258,1.47648
366,267,3.31361
367,178,1.80278
368,173,0.538516
369,139,2.55539
371,65,1.42127
374,294,4.51221
375,39,1.74929
377,232,2.51794
378,198,1.44222
379,5,2.28473
381,246,1.31529
382,135,0.282843
383,140,1.93132
385,32,4.01995
387,193,3.41321
392,51,1.7
393,231,2.14009
395,25,3.76431
396,263,4.38292
399,207,5.02195
400,119,4.88467
401,116,4.40114
402,143,7.18471
403,105,4.44185
404,149,3.19531
405,56,0.921954
408,183,1.48661
409,238,0.360555
412,205,6.28013
413,114,4.30813
417,29,2.5
418,244,1.30384
420,286,2.80179
421,166,1.4
422,94,2.12132
424,133,4.34166
425,86,1.90263
426,152,1.16619
427,265,2.64197
430,287,5.60803
431,66,0.282843
432,146,7.72787
433,245,2.05183
435,12,7.02922
436,46,1.92354
439,151,2.08806
443,148,1.84391
445,55,6.26498
450,230,0.565685
451,50,1.7
453,35,1.04403
455,155,9.97647
456,63,2.59615
457,210,5.43783
458,194,2.69258
459,1,2.20907
460,103,0.806226
461,266,1.87883
462,242,3.74833
463,250,1.20416
464,188,1.55242
465,121,2.01246
466,295,3.45254
468,3,2.78029
470,122,2.37697
471,167,1.86815
472,16,2.40832
473,53,4.60435
474,142,2.34307
475,214,7.78332
476,57,0.72111
477,174,3.40588
479,6,1.3
480,107,10.1514
481,200,3.61248
483,145,4.70425
484,87,0.8544
485,224,1
486,181,2.19317
487,13,1.21655
488,36,1.45602
489,61,1.11803
490,190,5.24786
493,124,2.06155
497,209,0.72111
498,185,3.04631
499,268,1.10454
500,7,2.30217
