user_id,spot_id,dist,arr,dep
240,41,21.1142,8.1,8.7
233,182,4.82701,8.4,9.3
60,202,8.00812,8.7,9.4
24,248,4.42832,8.8,10.5
484,233,10.4403,8.9,9.7
301,22,3.32866,8.9,9.9
444,263,22.3289,8.9,11.1
225,65,6.58559,9,9.5
80,298,8.5703,9,10.4
68,25,4.94975,9.1,9.9
413,37,7.61052,9.1,10.1
282,109,4.20476,9.1,10.1
380,189,18.3134,9.1,11.6
205,235,3.79473,9.2,10.2
6,146,15.7191,9.2,11
158,244,15.1743,9.2,11.1
231,222,1.20416,9.3,10.1
446,51,5.90931,9.3,10.4
89,268,20.1259,9.3,10.6
224,135,5.34135,9.4,10.1
420,286,2.80179,9.4,10.1
340,223,5.4231,9.5,10.2
162,21,7.3171,9.5,11.1
91,276,13.448,9.6,10.7
163,117,7.90759,9.6,11.2
357,66,9.31933,9.6,11.3
157,73,7.70779,9.6,11.6
354,215,8.28553,9.7,11.6
497,111,10.5537,9.9,11.8
106,139,18.7259,10,11.4
57,138,16.3,10.1,12.1
13,49,21.6157,10.1,12.2
463,28,8.59127,10.3,11.1
148,225,6.59697,10.3,11.6
494,278,19.3794,10.3,12.4
172,239,7.21249,10.4,11.6
100,147,12.5674,10.4,11.9
328,195,7.91202,10.4,11.9
495,292,7.79872,10.5,11.8
289,257,15.3222,10.5,11.8
156,9,2.34094,10.5,11.9
474,133,9.43663,10.5,12.2
478,145,11.967,10.6,12.2
329,39,11.3283,10.6,12.3
47,276,19.4879,10.7,11.7
298,243,15.7851,10.7,11.8
438,112,4.01622,10.7,11.9
55,192,22.3806,10.7,13.5
126,42,18.4784,10.9,13.5
2,258,6.31269,11,12.1
199,267,4.88467,11.1,13.2
341,282,5.93633,11.3,12
443,148,1.84391,11.3,12.3
216,245,5.38516,11.3,12.5
103,110,7.18401,11.4,12
375,16,5.1,11.4,12.4
448,177,6.50692,11.5,14.3
187,219,7.76209,11.9,12.4
196,40,9.40053,11.9,12.5
318,254,6.51153,12,13.9
325,214,24.776,12,14.2
466,55,10.1607,12.1,14.4
125,224,10.2122,12.3,13.8
160,153,21.1092,12.4,13.7
265,64,10.4235,12.5,13.9
294,31,17.8084,12.5,15.5
481,113,13.3135,12.8,14.1
197,252,1.16619,12.8,14.2
28,21,0.860233,13,13.8
66,297,0.223607,13.1,14.2
376,283,8.37257,13.1,14.9
324,35,12.5447,13.1,14.9
256,33,7.46525,13.3,13.9
302,131,2.98329,13.3,13.9
30,96,13.9284,13.3,14.1
188,161,6.10737,13.3,14.1
207,100,6.22415,13.3,15.8
327,194,5.83095,13.4,14.2
353,229,2.86007,13.4,14.8
315,110,12.8129,13.4,15.4
392,59,18.8322,13.5,15.3
59,257,19.7851,13.5,15.6
27,193,22.3036,13.5,16.5
85,175,4.52217,13.6,14.8
37,239,9.27793,13.7,15.5
159,209,11.64,13.8,14.9
450,200,5.3,13.8,15.4
311,271,6.57343,13.8,16.1
38,292,6.40312,13.8,16.3
468,44,18.1794,13.8,16.5
185,126,8.18841,13.9,14.5
397,153,8.60349,13.9,14.6
193,243,15.6847,13.9,15
374,290,5.76888,13.9,15.2
146,238,4.80104,13.9,15.3
19,80,7.77946,13.9,15.8
195,54,8.01561,13.9,15.9
56,39,17.5385,13.9,16.4
335,288,3.36155,14,14.6
364,28,8.60233,14,14.8
127,72,9.52103,14,14.8
452,261,13.0096,14,15.4
220,33,20.617,14.1,16.1
391,281,6.8352,14.2,15.7
367,129,2.0025,14.3,15.3
227,152,6.08276,14.3,15.7
496,181,11.411,14.4,16.6
432,216,7.63217,14.5,16
25,254,5.81378,14.6,15.3
144,34,6.62722,14.6,15.7
29,251,6.41249,14.6,15.9
333,282,7.96304,14.6,16
9,113,4.42945,14.6,16.4
390,94,8.05233,14.8,15.5
20,252,6.47611,14.8,15.6
250,288,4.78017,14.8,15.8
334,120,13.1103,14.8,16.9
238,151,2.74591,14.9,15.4
396,265,7.38241,15,15.6
389,4,8.10987,15,15.7
75,83,3.13847,15,16.1
487,296,12.4455,15,16.3
198,17,8.7,15.1,17
348,199,5.11077,15.2,16.3
46,32,16.6244,15.2,16.4
153,82,10.6733,15.2,16.4
361,51,3.50143,15.2,17.1
211,18,4.98197,15.3,16.8
412,276,14.0431,15.3,17.1
500,106,11.4634,15.3,18
455,146,6.67083,15.4,16.4
306,118,6.95701,15.4,16.8
490,190,5.24786,15.5,16.1
263,121,4.20119,15.5,16.6
93,231,6.97782,15.6,17.7
177,47,20.7328,15.6,17.9
49,173,19.4538,15.6,18.1
51,262,6.4195,15.7,16.6
382,23,4.18688,15.9,18.1
61,166,5.1264,16,16.6
161,247,14.8432,16,19
